IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP114;IC_GROUP0;IC_GROUP1;IC_GROUP2
13906;Если хочешь похудеть, что нужно ограничить, а что лучше полностью исключить из рациона?;15086;Y;;;;"<p>
	 Продукты с добавленным сахаром: сладкие газированные напитки, печенье, конфеты и все многообразие кондитерских изделий.&nbsp;
</p>
<p>
	 Рафинированные крупы: белый хлеб и другую из белой, рафинированной муки.
</p>
<p>
	 Транжиры: маргарин,&nbsp;плавленный&nbsp;сыр и другие продукты с наличием в составе гидрогенизированных растительных масел.&nbsp;
</p>
<p>
	 Рафинированные растительные масла: соевое, рапсовое, кукурузное, подсолнечное.&nbsp;
</p>
<p>
	 Junk Food&nbsp;или ""пустые калории"", - продукты, содержащие рафинированные углеводы&nbsp;( сахара) и транслируют, вроде картофельных чипсов, сладких газированных напитков, колбасных изделий и&nbsp;т.д&nbsp;- такая еда бедна микронутриентами, белком, клетчаткой, зато в ней, как правило, много калорий и вредных жиров.&nbsp;&nbsp;
</p>";html;;;text;;500;;;;;
13907;Инсулиновый индекс - секрет снижения веса?;15087;Y;;;;"Инсулиновый индекс -это ответ нашего организма после употребления того или иного продукта. Употребление молочных продуктов,&nbsp;например,&nbsp; вызывает&nbsp;повышение инсулина, несмотря на низкие показатели гликемического индекса, а инсулин -аноболический&nbsp;гормон, и его повышение может привести к набору массы тела, в том числе и жировой. Можно сделать однозначный вывод, что стакан обезжиренного кефира на ночь или творог с фруктами на ужин -не лучший выбор для снижения веса. Пусть эти блюда и напитки будут в вашем рационе в первую половину дня, а на ужин с целью снижения веса&nbsp;оптимальнее&nbsp;съесть легкоусвояемый белоус порцией клетчатки,&nbsp;например&nbsp;кусок рыбы на пару с зелёным салатом.&nbsp;&nbsp;";html;;;text;;500;;;;;
16487;Как правильно распределить БЖУ (белки, жиры, углеводы) в рационе? ;15088;Y;;;;"Белки -от 10 до 35% суточной калорийности; 

Жиры - от 20 до 35% от суточной калорийности; 

Углеводы -от 45 до 65% от суточной калорийности; 

При выборе процента белков в суточном рационе отталкиваться можно от уровня физической активности. Так, при малоподвижном образе жизни потребность в белках ниже, а при занятиях фитнесом и тем более спортом - выше.  ";text;;;text;;500;;;;;
16488;Всегда ли избыточная масса тела опасна для здоровья? ;15089;Y;;;;"Ожирение провоцирует развитие артериальной гипертонии и сахарного диабета и очень часто с ними сочетается – пациентов с метаболическим синдромом много. Вместе с тем не у всех больных с ожирением отмечаются выраженные метаболические нарушения, особенно это касается молодых людей. По разным оценкам, от 10 до 40% людей с ожирением имеют нормальные показатели углеводного обмена, липидного профиля. Артериального давления. В этой связи даже появился термин «метаболически здоровое ожирение». 

На самом деле «металобически здоровое ожирение» - это вовсе не здоровье, а лишь вопрос времени: со временем оно имеет тенденцию становиться «метаболически нездоровым». ";text;;;text;;500;;;;;
16489;Что нужно есть, чтобы избежать сердечно-сосудистых заболеваний? ;15090;Y;;;;"Профилактика сердечно-сосудистых заболеваний не требует огромных усилий. Нужны здравый смысл и понимание, что некоторые ограничения с лихвой окупятся долголетием и здоровьем. Самое главное – это: 

 - 250 г овощей и 250 г фруктов каждый день; 

 - 30 и более минут физической активности в большинство дней недели; 

 - отказ от курения; 

 - ограничение алкоголя; 

 - контроль за массой тела и окружностью талии; 

 - контроль за уровнем артериального давления; 

 - контроль за уровнем холестерина и сахара в крови.";text;;;text;;500;;;;;
16490;Каковы потребности в калориях для различных групп людей?;15091;Y;;;;"Физиологические потребности в энергии для взрослых составляют от 2100 до 4200 ккал\сутки для мужчин и от 1800 до 3050 ккал\сутки для женщин. Физиологические потребности в энергии для детей – 110-115 ккал\кг массы тела для детей до 1 года и от 1200 до 2900 ккал\сутки для детей старше 1 года. 

При беременности и грудном вскармливании потребность в энергии увеличивается в среднем на 15 и 25%, соответственно. Максимальной потребности в энергии соответствует быстрый рост в подростковом возрасте. Расход энергии на адаптацию к холодному климату в районах Крайнего Севера увеличивается в среднем на 15%.  ";text;;;text;;500;;;;;
16491;Как рассчитать калорийность рациона в зависимости от физической нагрузки? ;15092;Y;;;;"Наиболее точной на сегодняшний день считается формула Миффлина-Сан-Жеора, которая существует в двух вариантах – для мужчин и для женщин. 

При использовании этой формулы основной обмен рассчитывается следующим образом: 

У женщин: 10 х вес (кг) + 6,25 х рост (см) – 5 х возраст (лет) – 161 

У мужчин: 10 х вес (кг) + 6,25 х рост (см) – 5 х возраст (лет) + 5 

Полученный результат необходимо умножить на коэффициент физической нагрузки: 

 - 1,2 – минимум или отсутствие физической нагрузки; 

 - 1,375 – занятия фитнесом 3 раза в неделю; 

 - 1,4625 – занятия фитнесом 5 раз в неделю; 

 - 1,550 – интенсивная физическая нагрузка 5 раз в неделю; 

 - 1,6375 – занятия фитнесом каждый день; 

 - 1,725 – интенсивная физическая нагрузка каждый день или по 2 раза в день; 

 - 1,9 – ежедневная физическая нагрузка плюс физическая работа. ";text;;;text;;500;;;;;
16492;Какие продукты наиболее полезны для здоровья?;15093;Y;;;;Нет однозначно полезных и вредных продуктов. Пища должна быть разнообразной, потому что ни в одном виде продуктов нет всего набора необходимых для организма веществ. Здоровое питание – это не строгая диета, а разнообразный рацион с правильным балансом между различными компонентами пищи.;text;;;text;;500;;;;;
16493;Как соблюсти правильный баланс различных веществ в рационе? ;15094;Y;;;;Рацион питания составлен правильно, если калорийность ежедневного рациона обеспечена углеводами на 55-70%, белками на 10-15% и жирами на 20-30%. ;text;;;text;;500;;;;;
16494;Какой режим питания правильный?;15095;Y;;;;"Не только состав пищи, но и п правильный ее прием поможет не набрать лишние килограммы и благотворно скажется на состоянии здоровья.  

Рекомендуется придерживаться следующих правил:  

 - Принимайте пищу 3-5 раз в день небольшими порциями; 

 - Пищу необходимо принимать в одно и тоже время, которое вы установите сами, но желательно до 7 часов; 

 - Не пропускайте завтрак и не голодайте весь день, чтобы потом наесться на ужин в 8-9 часов вечера. Чашечка кофе – это тоже не завтрак;

 - Не бросайтесь в другую крайность, не перекусывайте постоянно. Если вам хочется есть. Пообедайте, но не пейте с коллегами чай с бутербродами или печеньем по нескольку раз в день;

 - Кушать надо медленно, тщательно пережевывая пищу. Если мы едим слишком быстро, то чувство насыщения «отстает» от количества поглощенной пищи, в результате мы переедаем. Лучше выходить из-за стола не до конца насытившись;

 - Понаблюдайте за собой, может быть вы часто едите, когда вас что-то волнует или тревожит, или когда вы в плохом настроении, или во время просмотра по телевизору захватывающего футбольного матча. Постарайтесь постепенно избавиться от этой вредной для здоровья привычки;

 - Не «заедайте» стрессы, постарайтесь снимать их с помощью физической нагрузки или приемов психологического расслабления;

 - Никогда не ешьте за компанию, если вы не голодны;

 - До еды выпивайте стакан воды без газа, а еду начинайте с нежирного супа или салата; 

 - Супы ешьте без хлеба, предварительно сняв с них жир. Это легко сделать предварительно, охладив их в холодильнике;

 - Следите за размером порций, не берите добавки (кроме овощных блюд);

 - Забудьте совет, который вам давали в детстве о то, что не хорошо оставлять на тарелке недоеденное. Теперь поступайте наоборот: никогда не доедайте до конца, если вы не голодны; 

 - Если вы «сорвались» и съели больше, чем планировали, не отчаивайтесь. На следующий день устройте себе разгрузку: например, 2 л обезжиренного кефира или молока, или 1,5 кг яблок в течении дня, или 1 кг кабачков и 200 г постного мяса за день. При этом воду можно пить без ограничений.  ";text;;;text;;500;;;;;
16495;Что такое диета?;15096;Y;;;;"Термином диета чаще всего обозначают рацион питания, ограниченный по калорийности или по потреблению определенных продуктов питания. 

Диета может предусматривать также специфический режим приема пищи. Диеты используются в комплексном лечении различных заболеваний и назначаются врачом.  ";text;;;text;;500;;;;;
16496;В чем опасность диеты для сердца и сосудов? ;15097;Y;;;;Недостаток важных питательных веществ, витаминов и микроэлементов способствуют повреждению стенок кровеносных сосудов и сердечной мышцы, а периоды неумеренного потребления пищи и набора веса во время срыва диет создают предпосылки для повышения уровня «плохого» холестерина в крови, развития атеросклероза и его осложнений. ;text;;;text;;500;;;;;
16497;Как питаться при сахарном диабете 2 типа? ;15098;Y;;;;Человеку с диагнозом сахарный диабет 2 типа удается удерживать нормальный уровень глюкозы крови только с помощью специального питания. Но чтобы добиться отличных результатов компенсации заболевания, важно знать, что нельзя есть при сахарном диабете, какие продукты стоит максимально ограничить, а какие можно употреблять без ограничений. Пациенты с сахарным диабетом 2 типа обязательно должны употреблять в достаточном количестве углеводы. Больным диабетом полезно вести определенный дневник питания, который будет помогать соблюдать диету. ;text;;;text;;500;;;;;
16498;Что можно есть при сахарном диабете 2 типа?  ;15099;Y;;;;"- Белки животного и растительного происхождения (мясо, птица, рыба, яйца, сыр, творог, бобовые). 

 - Жиры животного и растительного происхождения (сливочное масло, сметана и творог с высоким содержанием жира, растительные масла, орехи). 

 - Углеводы только медленные (клетчатка – овощи, зелень, крупы – гречка, овсянка). 

 - Витамины и минералы, которые содержатся в выше перечисленных продуктах. 

 - Специи, пряности, травы. ";text;;;text;;500;;;;;
16499;Что нельзя есть при сахарном диабете 2 типа? ;15100;Y;;;;"Нельзя есть продукты, которые усугубляют нарушения углеводного обмена. К ним относятся: 
 
Продукты с высоким гликемическим индексом или более понятное всем определение - быстрые углеводы. Это продукты, углеводы в которых, быстро превращаются в глюкозу в организме и вызывают резкие скачки глюкозы в крови (мучное, шоколад, белый рис, картофель, термически обработанная свекла и морковь). ";text;;;text;;500;;;;;
16500;В чем опасность диеты для иммунной системы человека? ;15101;Y;;;;Несбалансированное питание сопровождается снижением активности иммунной системы. Это не только увеличивает риск простудных заболеваний, но и становится причиной бактериальных и грибковых поражений кожи, воспалительных заболеваний мочевыделительной системы и органов малого таза, а также обострения уже имеющихся хронических болезней. ;text;;;text;;500;;;;;
16501;В чем опасность диеты для пищеварения?;15102;Y;;;;Однообразие рациона, типичное для строгих и несбалансированных диет, приводит к различным нарушениям работы пищеварительного тракта: запорам, поносам, проблемам с перевариванием пищи и усвоением питательных веществ.;text;;;text;;500;;;;;
16502;В чем опасность диеты для обмена веществ? ;15103;Y;;;;Резкое ограничение калорийности рациона в течение длительных периодов вынуждает организм приспосабливаться к голоду. Уменьшается мышечная масса и увеличивается процент содержание жира в организме. Периоды голода изменяют обмен веществ таким образом, что жировые запасы начинают создаваться гораздо быстрее, как только для этого предоставляется возможность. Это приводит к повышению риска метаболического синдрома и сахарного диабета второго типа. Врачи считают, что ограничение суточной калорийности рациона до 1200 ккал и менее, существенно повышает риск развития нарушений обмена веществ в организме. ;text;;;text;;500;;;;;
16503;Что такое эффект «йо-йо» при несбалансированной диете?;15104;Y;;;;"Категорический отказ от определенных продуктов и\или резкое снижение калорийности питания может вызвать повышенную тягу к ним и к процессу потребления пищи в целом. В результате неизбежно происходит срыв диеты с последующим перееданием и набором веса. 

Через некоторое время для того, чтобы как можно быстрее избавиться от лишних килограммов, человек снова «садится на диету» и начинает резко ограничивать рацион. Следующий срыв вновь приводит к еще большему набору веса. При этом повышается относительное содержание жировой ткани в организме и уменьшается содержание мышечной ткани. Такой эффект специалисты называют «эффектом йо-йо».  

Результаты исследований показывают, что 95 процентов людей, увлекавшихся строгими несбалансированными диетами, возвращаются к первоначальному весу или обзаводятся дополнительными лишними килограммами в течении двух лет после соблюдения подобных диет.  ";text;;;text;;500;;;;;
16504;Чем опасно полное исключение углеводов из рациона?;15105;Y;;;;Без сложных (полезных) углеводов метаболизм организма нарушается. К ним относятся крупы (гречневая, ячневая, овсяная, перловая, пшенная), коричневый нешлифованный рис, цельнозерновые макаронные изделия и хлеб. Они являются важным источником клетчатки, многих витаминов и микроэлементов. Стоит сократить потребление простых (легко усваиваемых) углеводов. Их источники – сахар, кондитерские изделия, мороженое, варенье, пастила, зефир, конфеты и сладкие напитки (лимонады, компоты, сахаросодержащие газированные напитки).;text;;;text;;500;;;;;
16505;Что такое микробиота и какова ее роль?;15106;Y;;;;Микробиота представляет собой совокупность всех микроорганизмов, населяющих организм человека. Микроорганизмы находятся в тесной симбиотической связи с человеком. Биомасса микробов, заселяющих кишечник человека, составляет примерно 5% от массы тела. Гены кишечной микрофлоры ученые объединили под названием «микробиом». Оказалось, что число генов кишечной микрофлоры в 100-150 раз превышает собственный геном человека. В общей сложности в кишечнике насчитывается более 1000 различных видов микроорганизмов. Это, по сути дела, отдельный орган, который участвует в иммунных реакциях, регуляции водно-солевого обмена, поддержании постоянства всех сред организма, синтезе витаминов, детоксикации, процессах пищеварения и даже регуляции работы определенных генов. ;text;;;text;;500;;;;;
16506;Есть ли связь между микробиотой и развитием сердечно-сосудистых заболеваний? ;15107;Y;;;;В последние годы активно изучается влияние кишечной микрофлоры на развитие атеросклероза, ожирения, метаболического синдрома, сахарного диабета, неалкогольной жировой болезни печени, синдрома раздраженного кишечника. Так, одним из возможных механизмов этой взаимосвязи может быть синтез кишечной микрофлорой вещества триметилаланина из продуктов, которые богаты форфатидилхолином, холином и L-карнитином. Отмечено, что повышение его концентрации способствует развитию атеросклероза.  ;text;;;text;;500;;;;;
16507;В чем польза пробиотиков? ;15108;Y;;;;"Пробиотики – это функциональные пищевые ингредиенты в виде непатогенных и нетоксичных живых микроорганизмов (в основном бифидобактерий и лактобацилл), полезных для микрофлоры кишечника и организма в целом. Они существуют в виде аптечных препаратов и входят в состав пищевых продуктов, в частности кисломолочных. 

Польза пробиотиков известна веками. Кисломолочные продукты являются ключевым продуктом питания у многих народов, например у народов Кавказа. Они по-разному называются – мацун, йогурт, тан, айран, кефир, простокваша, но традиционно считаются пищей долгожителей. 

С научной точки зрения пользу пробиотиков – кисломолочных бактерий – доказал великий русский миробиолог Илья Мечников в начале прошлого века. 

Есть доказательства эффективности пробиотиков для улучшения функционирования кишечника и стимулирования иммунной системы. ";text;;;text;;500;;;;;
16508;Что такое метабиотики? ;15109;Y;;;;Это биологически активные вещества, которые выделяются пробиотическими микроорганизмами и способствуют росту полезной микрофлоры в кишечнике. ;text;;;text;;500;;;;;
16509;Какие продукты полезны для поддержания баланса микробиоты? ;15110;Y;;;;Важны пищевые волокна, которые человеческий организм не может переварить самостоятельно, но они являются источником питания для нормальной микробиоты. Их называют пребиотиками. Такие волокна содержатся в отрубях, цельном зерне, овощах и фруктах, орехах. ;text;;;text;;500;;;;;
16510;Что такое пищевые волокна (клетчатка)? ;15111;Y;;;;"Пищевые волокна (клетчатка) - это компоненты пищи, необходимые нашему организму. Так же как БЖУ, они являются обязательным компонентом нашего питания и должны непременно поступать с пищей.  

Клетчатка содержится в разных продуктах питания - крупах, овощах и фруктах, орехах и Семёнах.  ";text;;;text;;500;;;;;
16511;Почему необходимо употребление пищевых волокон (клетчатки)? ;15112;Y;;;;"Клетчатка является питанием для полезных бактерий нашего кишечника. Его полезная микрофлора питаясь пищевыми волокнами, образует множество необходимых для нашего организма питательных веществ, например витамин К, некоторые витамины группы В, а так же короткоцепочечные жирные кислоты.  

Включение пищевых волокон в углеводсодержащие продукты, например, крупы, способствуют замедлению всасыванию глюкозы в кишечнике, что поможет уменьшить скачки глюкозы в крови. 

Пищевые волокна в питании обеспечивают чувство сытости на несколько часов, снижают аппетит, способствуют меньшему потреблению калорий, что в свою очередь может помочь в снижении веса.  

Самый простой способ увеличить количество пищевых волокон в рационе - это употреблять овощи. Они являются прекрасным ингредиентом практически для любого блюда.";text;;;text;;500;;;;;
16512;Какие углеводы должны обязательно присутствовать в ежедневном рационе? ;15113;Y;;;;"Сложные (медленноусвояемые) углеводы полезны и обязательно должны входить в состав любого здорового рациона. В отличие от простых сахаров они имеют сложный состав, плохо растворяются в воде и нуждаются в длительной обработке ферментами для своего расщепления. Для их переваривания требуются небольшие порции инсулина. Поэтому поджелудочная железа работает более экономно и ровно. При этом уровень сахара в крови растет и снижается очень медленно. Продукты, содержащие сложные углеводы, создают ощущение сытости. Простые же углеводы вызывают модный выброс инсулина в кровь и, как следствие, ощущение голода. 

Сложные углеводы имеют и другие плюсы. Они являются источниками микроэлементов, витаминов группы В, богаты пектином и клетчаткой, поэтому способствуют снижению уровня «плохого» холестерина. Опасения, что содержащаяся в знаках клейковина (глютен) опасна для здоровья, безосновательный и сильно преувеличены. Целиакия (непереносимость глютена) встречается только у 0.5-1% населения. ";text;;;text;;500;;;;;
16513;В каких продуктах есть сложные углеводы? ;15114;Y;;;;Сложные углеводы содержатся в крупах (гречневой, ячневой, овсяной, перловой, пшенной, булгуре), коричневом нешлифованном рисе, цельнозерновых макаронных изделиях и хлебе, бобовых (нут, фасоль, горох, чечевица), некоторых овощах (кукуруза) и фруктах (яблоки, груши, сливы, цитрусовые, ягоды). ;text;;;text;;500;;;;;
16514;Сколько нужно есть овощей и фруктов? ;15115;Y;;;;Всемирная организация здравоохранения (ВОЗ), отечественные и международные эксперты, рекомендуют есть 5 порций (500г.) овощей и фруктов ежедневно (без учета картофеля). Овощи и фрукты – источник витаминов. Микроэлементов и клетчатки для организма. Потребление рекомендуемого количества овощей и фруктов – это важный элемент профилактики сердечно-сосудистых заболеваний и многих видов онкологических заболеваний, в первую очередь рака кишечника. ;text;;;text;;500;;;;;
